test_name,url,method,status_code,is_blocked,bypassed
sqli,/,POST,429,false,true
sqli,/,POST,429,false,true
sqli,/,POST,429,false,true
shellshock,/?p=%28%29%20%7B%20_%3B%20%7D%20%3E_%5B%24%28%24%28%29%29%5D%20%7B%20echo%20CVE-2014-6278%20vulnerable%3B%20id%3B%20%7D,GET,429,false,true
sqli,/,POST,429,false,true
sqli,/,POST,429,false,true
sqli,/,POST,429,false,true
sqli,/,POST,429,false,true
sqli,/,POST,429,false,true
sqli,/,POST,429,false,true
sqli,/,POST,429,false,true
sqli,/,POST,429,false,true
sqli,/,POST,429,false,true
sqli,/,POST,429,false,true
sqli,/?p=%20AS%20INJECTX%20WHERE%201%3D1%20AND%201%3D0%23,GET,429,false,true
sqli,/,POST,429,false,true
sqli,/,POST,429,false,true
sqli,/,POST,429,false,true
sqli,/,POST,429,false,true
sqli,/,POST,429,false,true
sqli,/,POST,429,false,true
sqli,/,POST,429,false,true
sqli,/,POST,429,false,true
sqli,/,POST,429,false,true
sqli,/,POST,429,false,true
sqli,/,POST,429,false,true
sqli,/,POST,429,false,true
sqli,/,POST,429,false,true
sqli,/,POST,429,false,true
sqli,/,POST,429,false,true
sqli,/,POST,429,false,true
sqli,/,POST,429,false,true
sqli,/,POST,429,false,true
sqli,/,POST,429,false,true
sqli,/,POST,429,false,true
sqli,/,POST,429,false,true
sqli,/,POST,429,false,true
sqli,/,POST,429,false,true
sqli,/,POST,429,false,true
sqli,/,POST,429,false,true
sqli,/,POST,429,false,true
sqli,/,POST,429,false,true
sqli,/,POST,429,false,true
sqli,/,POST,429,false,true
sqli,/,POST,429,false,true
sqli,/,POST,429,false,true
sqli,/,POST,429,false,true
sqli,/,POST,429,false,true
sqli,/,POST,429,false,true
sqli,/,POST,429,false,true
sqli,/,POST,429,false,true
sqli,/,POST,429,false,true
sqli,/,POST,429,false,true
sqli,/,POST,429,false,true
sqli,/,POST,429,false,true
sqli,/,POST,429,false,true
sqli,/,POST,429,false,true
sqli,/,POST,429,false,true
sqli,/,POST,429,false,true
sqli,/,POST,429,false,true
sqli,/,POST,429,false,true
sqli,/,POST,429,false,true
sqli,/,POST,429,false,true
sqli,/,POST,429,false,true
sqli,/,POST,429,false,true
sqli,/,POST,429,false,true
sqli,/,POST,429,false,true
sqli,/,POST,429,false,true
sqli,/,POST,429,false,true
sqli,/,POST,429,false,true
sqli,/,POST,429,false,true
sqli,/,POST,429,false,true
sqli,/,POST,429,false,true
sqli,/,POST,429,false,true
sqli,/?p=2100935%27%20OR%20IF%28MID%28%40%40version%2C1%2C1%29%3D%275%27%2Csleep%281%29%2C1%29%3D%272,GET,429,false,true
sqli,/,POST,429,false,true
sqli,/,POST,429,false,true
sqli,/,POST,429,false,true
sqli,/,POST,429,false,true
sqli,/,POST,429,false,true
sqli,/,POST,429,false,true
sqli,/,POST,429,false,true
sqli,/,POST,429,false,true
sqli,/,POST,429,false,true
sqli,/,POST,429,false,true
sqli,/,POST,429,false,true
sqli,/,POST,429,false,true
sqli,/,POST,429,false,true
sqli,/,POST,429,false,true
sqli,/,POST,429,false,true
sqli,/,POST,429,false,true
sqli,/,POST,429,false,true
sqli,/,POST,429,false,true
sqli,/,POST,429,false,true
sqli,/,POST,429,false,true
sqli,/,POST,429,false,true
sqli,/,POST,429,false,true
sqli,/,POST,429,false,true
sqli,/,POST,429,false,true
sqli,/,POST,429,false,true
sqli,/,POST,429,false,true
sqli,/,POST,429,false,true
sqli,/,POST,429,false,true
sqli,/,POST,429,false,true
sqli,/,POST,429,false,true
sqli,/,POST,429,false,true
sqli,/,POST,429,false,true
sqli,/,POST,429,false,true
sqli,/,POST,429,false,true
sqli,/,POST,429,false,true
sqli,/,POST,429,false,true
sqli,/,POST,429,false,true
sqli,/,POST,429,false,true
sqli,/,POST,429,false,true
sqli,/,POST,429,false,true
sqli,/,POST,429,false,true
sqli,/,POST,429,false,true
sqli,/,POST,429,false,true
sqli,/,POST,429,false,true
sqli,/,POST,429,false,true
sqli,/,POST,429,false,true
sqli,/,POST,429,false,true
sqli,/,POST,429,false,true
sqli,/,POST,429,false,true
sqli,/,POST,429,false,true
sqli,/,POST,429,false,true
sqli,/,POST,429,false,true
sqli,/,POST,429,false,true
sqli,/,POST,429,false,true
sqli,/,POST,429,false,true
sqli,/,POST,429,false,true
sqli,/,POST,429,false,true
sqli,/?p=%23%3Fzen%3F%0Aunion%20all%23zen%0A%23Zen%0Aselect,GET,429,false,true
sqli,/,POST,429,false,true
sqli,/,POST,429,false,true
sqli,/,POST,429,false,true
sqli,/,POST,429,false,true
sqli,/,POST,429,false,true
sqli,/,POST,429,false,true
sqli,/,POST,429,false,true
sqli,/,POST,429,false,true
sqli,/,POST,429,false,true
sqli,/,POST,429,false,true
sqli,/,POST,429,false,true
sqli,/,POST,429,false,true
sqli,/,POST,429,false,true
sqli,/,POST,429,false,true
sqli,/,POST,429,false,true
sqli,/,POST,429,false,true
sqli,/,POST,429,false,true
sqli,/,POST,429,false,true
sqli,/,POST,429,false,true
sqli,/,POST,429,false,true
sqli,/,POST,429,false,true
sqli,/,POST,429,false,true
sqli,/,POST,429,false,true
sqli,/,POST,429,false,true
sqli,/,POST,429,false,true
sqli,/,POST,429,false,true
sqli,/,POST,429,false,true
sqli,/,POST,429,false,true
sqli,/,POST,429,false,true
sqli,/,POST,429,false,true
sqli,/,POST,429,false,true
sqli,/,POST,429,false,true
sqli,/,POST,429,false,true
sqli,/,POST,429,false,true
sqli,/,POST,429,false,true
sqli,/?p=admin%22%20%23,GET,429,false,true
sqli,/,POST,429,false,true
sqli,/?p=a%22and/%2Ag%2A/456%3D678--%20%23,GET,429,false,true
sqli,/?p=%2c%28select%20%2A%20from%20%28select%28sleep%2810%29%29%29a%29,GET,429,false,true
sqli,/?p=a%27and/%2Ag%2A/456%3D678--%20%23,GET,429,false,true
sqli,/?p=admin%22/%2A,GET,429,false,true
sqli,/,POST,429,false,true
sqli,/?p=admin%22%20--,GET,429,false,true
sqli,/?p=admin%27%29%20or%20%271%27%3D%271%27%23,GET,429,false,true
sqli,/?p=admin%27or%201%3D1%20or%20%27%27%3D%27,GET,429,false,true
sqli,/?p=%20and%200%3Dbenchmark%283000000%2CMD5%281%29%29%20--,GET,429,false,true
sqli,/?p=%22%29%29%20and%200%3Dbenchmark%283000000%2CMD5%281%29%29%20--,GET,429,false,true
sqli,/?p=%22%29%20and%200%3Dbenchmark%283000000%2CMD5%281%29%29%20--,GET,429,false,true
sqli,/?p=%22%29%29%20and%200%3Dbenchmark%283000000%2CMD5%281%29%29%20/%2A,GET,429,false,true
sqli,/?p=%20and%200%3Dbenchmark%283000000%2CMD5%281%29%29%20/%2A,GET,429,false,true
sqli,/?p=%22%20and%200%3Dbenchmark%283000000%2CMD5%281%29%29%20/%2A,GET,429,false,true
sqli,/?p=%22%20and%200%3Dbenchmark%283000000%2CMD5%281%29%29%20--,GET,429,false,true
sqli,/?p=%22%29%29%29%20and%200%3Dbenchmark%283000000%2CMD5%281%29%29%20/%2A,GET,429,false,true
sqli,/?p=%22%29%20and%200%3Dbenchmark%283000000%2CMD5%281%29%29%20/%2A,GET,429,false,true
sqli,/?p=%22%29%29%29%20and%200%3Dbenchmark%283000000%2CMD5%281%29%29%20--,GET,429,false,true
sqli,/?p=%22%29%29%29%29%20and%200%3Dbenchmark%283000000%2CMD5%281%29%29%20--,GET,429,false,true
sqli,/?p=%22%29%29%29%29%20and%200%3Dbenchmark%283000000%2CMD5%281%29%29%20/%2A,GET,429,false,true
sqli,/?p=%27%29%29%20and%200%3Dbenchmark%283000000%2CMD5%281%29%29%20/%2A,GET,429,false,true
sqli,/?p=%27%29%29%20and%200%3Dbenchmark%283000000%2CMD5%281%29%29%20--,GET,429,false,true
sqli,/?p=%27%29%29%29%20and%200%3Dbenchmark%283000000%2CMD5%281%29%29%20--,GET,429,false,true
sqli,/?p=%27%20and%200%3Dbenchmark%283000000%2CMD5%281%29%29%20--,GET,429,false,true
sqli,/?p=%27%29%20and%200%3Dbenchmark%283000000%2CMD5%281%29%29%20/%2A,GET,429,false,true
sqli,/?p=%27%20and%200%3Dbenchmark%283000000%2CMD5%281%29%29%20/%2A,GET,429,false,true
